w_R,w_P,w_U,a,b,N,R,P,U,G
0.06,0.68,0.26,0.170841388553563,4.5,4.0,0.7451355037050642,0.0821622327906865,0.7810140021506355,0.15140391666804226
0.06,0.7,0.24,0.1675,4.5,4.0,0.7455512576014465,0.082102112333742,0.7819956397455645,0.15432650153322502
0.06,0.72,0.22,0.1638767938444573,4.5,4.0,0.7460145432228099,0.0820442930286171,0.783087242472081,0.15722181569174393
0.06,0.74,0.2,0.159461539684094,4.5,4.0,0.7465941593683907,0.0819816750982963,0.7844486259349669,0.15990403814064458
0.06,0.76,0.18,0.1542541479301568,4.5,4.0,0.7472949434179285,0.0819147394753007,0.786086623577221,0.16237589815658962
0.06,0.78,0.16,0.1479456907418632,4.5,4.0,0.748161704134109,0.0818364357252523,0.7880976447148518,0.16442803037896342
0.06,0.8,0.14,0.1402142878961925,4.5,4.0,0.7492377436366602,0.0817315565151433,0.7905655890847381,0.16559322964766582
0.06,0.82,0.12,0.1305855539980565,4.5,4.0,0.7505747657190451,0.081562455239232,0.7935750680286509,0.16469097704870603
0.06,0.84,0.1,0.1187228035331284,4.5,4.0,0.7521715533753609,0.0812488001003531,0.7970546627915766,0.1591273558667168
0.06,0.86,0.08,0.1082341837389802,4.5,4.0,0.7534909610346622,0.0808277145863663,0.7997902558591768,0.14992137343604237
0.06,0.88,0.06,0.1066916160197874,4.5,4.0,0.7536749686261036,0.0807516293318417,0.8001578327283382,0.1507908112528621
0.06,0.9,0.04,0.105,4.5,4.0,0.7538733354842413,0.0806635495834386,0.800549369149937,0.1516377092904685
0.06,0.92,0.02,0.1037109353602566,4.5,4.0,0.7540219885643795,0.0805930605882808,0.8008393116568002,0.1523324808563962
0.06,0.94,0.0,0.102067819939848,4.499999999999998,4.0,0.7542081877919355,0.0804988468662809,0.8011979405112498,0.15313947129960895
0.08,0.0,0.92,0.235,3.3525,4.0,0.7351738008129105,0.1156813804318386,0.7733360284610251,0.08981218122772863
0.08,0.02,0.9,0.2345,3.3525,4.0,0.7351737258445304,0.1156090418617621,0.7733387085761008,0.08981442813662255
0.08,0.04,0.88,0.235,3.34875,4.0,0.7351100981029774,0.1158317903578783,0.773399022983726,0.08943518816777143
0.08,0.06,0.86,0.235,3.34875,4.0,0.7351100981029774,0.1158317903578783,0.773399022983726,0.08943787858278521
0.08,0.08,0.84,0.2172050706795334,3.4314911002273765,4.0,0.7369231949523516,0.1105257188736131,0.7732264041744497,0.10033156439325604
0.08,0.1,0.82,0.2145,3.5325,4.0,0.7387859696954755,0.1067181597944854,0.7727187348514011,0.11156388983701954
0.08,0.12,0.8,0.215,3.62625,4.0,0.7403604246887387,0.1037565746777432,0.7726260056149525,0.12098180948177872
0.08,0.14,0.78,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.1253723369175939
0.08,0.16,0.76,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537302409015105
0.08,0.18,0.74,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537371126270824
0.08,0.2,0.72,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.1253743984352654
0.08,0.22,0.7,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537508560782257
0.08,0.24,0.68,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537577278037973
0.08,0.26,0.66,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537645995293692
0.08,0.28,0.64,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537714712549408
0.08,0.3,0.62,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537783429805124
0.08,0.32,0.6,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537852147060843
0.08,0.34,0.58,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.1253792086431656
0.08,0.36,0.56,0.2275993538525749,4.5,4.0,0.7410930681185189,0.0855402191635282,0.7718155183267351,0.12537989581572276
0.08,0.38,0.54,0.2235,4.5,4.0,0.7411197203148079,0.0850714515047207,0.7717952890803707,0.1255399983602246
0.08,0.4,0.52,0.2195,4.5,4.0,0.7411952233941057,0.0846576471632514,0.7719058737424537,0.12599405193378443
