response,degree,outer_fold,outer_repeat,test_size,selected_alpha,rmse,nrmse,max_absolute_error
P,2,4,0,16,1.0,0.003059083918493009,0.024019189058519227,0.006345265050294369
P,2,5,1,16,1.0,0.0034798944864683364,0.02732329213621495,0.0055896244476909135
P,2,6,1,16,0.1,0.003445667943960471,0.027054553580091636,0.007272121962511535
P,2,7,1,16,1e-08,0.0028782327375159885,0.022599189207883074,0.005948689256883424
P,2,8,1,16,1e-08,0.003218679035893475,0.02527229142504299,0.006029487021408209
P,2,9,1,16,1e-08,0.0018991693688023786,0.014911819792732244,0.004160509712006016
P,2,10,2,16,1e-08,0.002986632568400474,0.02345031853329518,0.006698198417015522
P,2,11,2,16,0.1,0.003272592204685538,0.02569560462221685,0.007053861533491787
P,2,12,2,16,0.1,0.004065345953202955,0.031920115838591036,0.007066464321834151
P,2,13,2,16,0.1,0.0035018177676903886,0.027495428452342874,0.006765175612641713
P,2,14,2,16,0.1,0.0033493210889430037,0.026298061313936902,0.006870357968315005
P,2,15,3,16,0.1,0.0030062135296752704,0.023604063518178946,0.0068813608526675785
P,2,16,3,16,1e-08,0.0031043034721419498,0.02437424208654169,0.006780223480198425
P,2,17,3,16,1.0,0.0038171514471426983,0.029971352443017418,0.006642841553096565
P,2,18,3,16,1e-08,0.0038881592241263095,0.030528888380388735,0.006200813209622846
P,2,19,3,16,1e-08,0.002682325902629969,0.021060975994267973,0.006419768175622648
P,2,20,4,16,0.1,0.0026676616788211815,0.020945836046020582,0.0048284957927090255
P,2,21,4,16,0.1,0.0037957710966654364,0.02980347908813942,0.006968842413321449
P,2,22,4,16,1e-08,0.003112614455207505,0.024439497920913197,0.005921428327670827
P,2,23,4,16,1.0,0.0027999189906312612,0.02198428855709219,0.006480777179100852
P,2,24,4,16,0.1,0.003334486244134732,0.026181581690756378,0.006556045919350606
P,2,25,5,16,1e-08,0.0023441057413299874,0.01840535286848294,0.0053342259594104935
P,2,26,5,16,0.1,0.0031419962020299845,0.0246701963099088,0.006604473989054421
P,2,27,5,16,1e-08,0.003456875761604435,0.027142554660838845,0.006683981312257781
P,2,28,5,16,1e-08,0.0027149800244192918,0.02131736828218665,0.0054980667512696535
P,2,29,5,16,1.0,0.0035197540244463906,0.027636259614057714,0.007030386834752711
P,2,30,6,16,1.0,0.004102226669701998,0.032209694328690315,0.007379920436453635
P,2,31,6,16,0.1,0.003172560796772439,0.02491018213546199,0.006118385757888506
P,2,32,6,16,1e-08,0.0028722929507260515,0.02255255143472088,0.006390345850611268
P,2,33,6,16,1e-08,0.003923905010281705,0.03080955567118173,0.006861931519826045
P,2,34,6,16,0.1,0.0022362802597488993,0.0175587331952646,0.004672967267316669
P,2,35,7,16,0.1,0.003700262366004841,0.029053567572274192,0.006354020894714596
P,2,36,7,16,0.01,0.003136061014797719,0.024623594651364,0.005818890645680072
P,2,37,7,16,1e-08,0.0024599687890726227,0.019315081572492326,0.004925782754838293
P,2,38,7,16,0.1,0.0029142365441232835,0.022881882413028295,0.00626484876874675
P,2,39,7,16,1e-08,0.0025897539532205786,0.02033412337641786,0.006624427176570774
P,2,40,8,16,0.1,0.002686033537021567,0.021090087445207028,0.005369360279170246
P,2,41,8,16,0.01,0.0028995621569954592,0.02276666266485128,0.006033378223445129
P,2,42,8,16,1.0,0.0025053634680764544,0.0196715096425601,0.005623615160106538
P,2,43,8,16,0.1,0.0039506538875108185,0.03101958140319424,0.00652690140952826
P,2,44,8,16,1.0,0.0028877464464271323,0.022673888555489418,0.006498196816296237
P,2,45,9,16,0.1,0.0027985687194165432,0.021973686553207784,0.006354714451363611
P,2,46,9,16,0.01,0.0037083717593698324,0.029117240572941523,0.006663033494653331
P,2,47,9,16,1.0,0.003908703092634874,0.030690193880613018,0.007327086427961371
P,2,48,9,16,0.1,0.002789381605959397,0.021901551554329435,0.007286620941921201
P,2,49,9,16,0.1,0.0027744793732743895,0.021784542817795145,0.0055598196602827665
P,3,0,0,16,0.001,0.00029605621734081673,0.0023245620080152066,0.0006695828528989478
P,3,1,0,16,1e-06,0.001050069097133992,0.008244889267697801,0.004200276218029819
P,3,2,0,16,0.01,0.00029382803812306226,0.002307066882247662,0.000640450017262234
P,3,3,0,16,1e-08,0.0002585862316272848,0.0020303567181790575,0.0006939961186146482
P,3,4,0,16,0.1,0.00042534015785375943,0.0033396683248567796,0.0011225610043453793
P,3,5,1,16,1e-08,0.0001446612725501979,0.0011358454188928856,0.000288860193007473
P,3,6,1,16,0.01,0.0002894055782349644,0.002272342793930311,0.0005130750701945463
P,3,7,1,16,1e-05,0.0010500402463937855,0.008244662738644673,0.00420016079056984
P,3,8,1,16,1e-08,0.00031815098623674614,0.002498044803994552,0.0007883529891171415
P,3,9,1,16,1e-08,0.000375494900286851,0.002948295385418114,0.0012416087470204507
P,3,10,2,16,0.01,0.0005675435880172133,0.004456215358175355,0.0015086448540217734
P,3,11,2,16,0.01,0.00020946629509060674,0.001644678824517955,0.00048173271459826805
P,3,12,2,16,0.001,0.00030148390321696857,0.002367178888324188,0.00065650018648028
P,3,13,2,16,1e-05,0.0010501269666055835,0.008245343644830273,0.004200507578645374
P,3,14,2,16,1e-08,0.0003902487932076725,0.0030641393939044637,0.001205773450933867
P,3,15,3,16,1e-08,0.0004450392354975856,0.0034943407309797865,0.0013565378183828802
