method,b,R,P,U,dominated_by_pin_pareto,points,dominated_points,minimum_dominance_margin
pchip,4.1985,0.7692295528850789,0.08443037523669725,0.839655130047122,True,,,
pchip,4.19925,0.7692336755744169,0.08441515014561037,0.8396639602620403,True,,,
pchip,4.2,0.7692377905482388,0.08439993257000558,0.839672816,True,,,
pchip,4.20075,0.7692418977937973,0.08438472251633655,0.8396816972025597,True,,,
pchip,4.2015,0.7692459972983442,0.08436951999105692,0.8396906038112779,True,,,
pchip,4.20225,0.7692500890491323,0.08435432500062032,0.8396995357677133,True,,,
pchip,4.203,0.7692541730334139,0.08433913755148041,0.839708493013424,True,,,
pchip,4.20375,0.7692582492384415,0.08432395765009079,0.8397174754899688,True,,,
pchip,4.2045,0.7692623176514676,0.08430878530290517,0.839726483138906,True,,,
pchip,4.2052499999999995,0.7692663782597443,0.08429362051637716,0.8397355159017942,True,,,
pchip,4.2059999999999995,0.7692704310505245,0.08427846329696038,0.839744573720192,True,,,
pchip,4.2067499999999995,0.7692744760110604,0.08426331365110848,0.8397536565356577,True,,,
pchip,4.2075,0.7692785131286042,0.08424817158527513,0.8397627642897499,True,,,
pchip,4.20825,0.7692825423904085,0.08423303710591395,0.8397718969240272,True,,,
pchip,4.209,0.7692865637837256,0.08421791021947858,0.839781054380048,True,,,
pchip,4.20975,0.7692905772958083,0.0842027909324227,0.8397902365993707,True,,,
pchip,4.2105,0.7692945829139086,0.0841876792511999,0.839799443523554,True,,,
pchip,4.21125,0.7692985806252792,0.08417257518226384,0.8398086750941561,True,,,
pchip,4.212,0.7693025704171724,0.08415747873206818,0.839817931252736,True,,,
pchip,4.21275,0.7693065522768406,0.08414238990706656,0.8398272119408517,True,,,
pchip,4.2135,0.7693105261915363,0.0841273087137126,0.839836517100062,True,,,
pchip,4.21425,0.7693144921485117,0.08411223515845996,0.8398458466719252,True,,,
pchip,4.215,0.7693184501350195,0.0840971692477623,0.839855200598,True,,,
pchip,4.21575,0.769322400138312,0.08408211098807322,0.8398645788198447,True,,,
pchip,4.2165,0.7693263421456417,0.0840670603858464,0.839873981279018,True,,,
pchip,4.21725,0.7693302761442609,0.08405201744753547,0.8398834079170783,True,,,
pchip,4.218,0.7693342021214221,0.08403698217959406,0.839892858675584,True,,,
pchip,4.21875,0.7693381200643776,0.08402195458847583,0.8399023334960938,True,,,
pchip,4.2195,0.7693420299603799,0.08400693468063442,0.839911832320166,True,,,
pchip,4.22025,0.7693459317966815,0.08399192246252345,0.8399213550893593,True,,,
pchip,4.221,0.769349825560535,0.08397691794059661,0.839930901745232,True,,,
pchip,4.22175,0.7693537112391923,0.08396192112130749,0.8399404722293428,True,,,
pchip,4.2225,0.7693575888199061,0.08394693201110978,0.83995006648325,True,,,
pchip,4.22325,0.7693614582899289,0.08393195061645707,0.8399596844485123,True,,,
pchip,4.224,0.769365319636513,0.08391697694380305,0.839969326066688,True,,,
pchip,4.22475,0.7693691728469109,0.08390201099960135,0.8399789912793357,True,,,
pchip,4.2255,0.7693730179083749,0.08388705279030559,0.839988680028014,True,,,
pchip,4.22625,0.7693768548081575,0.08387210232236944,0.8399983922542812,True,,,
pchip,4.227,0.7693806835335112,0.08385715960224654,0.840008127899696,True,,,
pchip,4.22775,0.7693845040716883,0.0838422246363905,0.8400178869058168,True,,,
pchip,4.2285,0.7693883164099413,0.08382729743125501,0.8400276692142019,True,,,
pchip,4.22925,0.7693921205355226,0.08381237799329369,0.8400374747664103,True,,,
pchip,4.23,0.7693959164356845,0.0837974663289602,0.840047303504,True,,,
pchip,4.2307500000000005,0.7693997040976797,0.08378256244470815,0.8400571553685297,True,,,
pchip,4.2315000000000005,0.7694034835087604,0.08376766634699118,0.8400670303015579,True,,,
pchip,4.2322500000000005,0.769407254656179,0.08375277804226297,0.8400769282446432,True,,,
pchip,4.2330000000000005,0.769411017527188,0.08373789753697715,0.840086849139344,True,,,
pchip,4.233750000000001,0.7694147721090397,0.08372302483758735,0.8400967929272188,True,,,
pchip,4.2345,0.7694185183889869,0.08370815995054724,0.8401067595498259,True,,,
pchip,4.23525,0.7694222563542815,0.08369330288231042,0.8401167489487242,True,,,
pchip,4.236,0.7694259859921764,0.08367845363933053,0.840126761065472,True,,,
pchip,4.23675,0.7694297072899237,0.08366361222806128,0.8401367958416277,True,,,
pchip,4.2375,0.7694334202347758,0.08364877865495625,0.8401468532187499,True,,,
pchip,4.23825,0.7694371248139854,0.08363395292646911,0.8401569331383972,True,,,
pchip,4.239,0.7694408210148046,0.0836191350490535,0.840167035542128,True,,,
pchip,4.23975,0.7694445088244861,0.08360432502916304,0.8401771603715008,True,,,
pchip,4.2405,0.7694481882302823,0.0835895228732514,0.840187307568074,True,,,
pchip,4.24125,0.7694518592194453,0.0835747285877722,0.8401974770734062,True,,,
pchip,4.242,0.7694555217792278,0.08355994217917911,0.840207668829056,True,,,
pchip,4.24275,0.7694591758968822,0.08354516365392577,0.8402178827765817,True,,,
pchip,4.2435,0.7694628215596608,0.08353039301846579,0.840228118857542,True,,,
pchip,4.24425,0.7694664587548162,0.08351563027925285,0.8402383770134952,True,,,
pchip,4.245,0.7694700874696007,0.08350087544274057,0.8402486571860001,True,,,
pchip,4.24575,0.7694737076912669,0.0834861285153826,0.8402589593166147,True,,,
pchip,4.2465,0.7694773194070668,0.08347138950363257,0.840269283346898,True,,,
pchip,4.24725,0.7694809226042532,0.08345665841394415,0.8402796292184082,True,,,
pchip,4.248,0.7694845172700783,0.08344193525277097,0.840289996872704,True,,,
pchip,4.24875,0.7694881033917949,0.08342722002656666,0.8403003862513437,True,,,
pchip,4.2495,0.7694916809566548,0.08341251274178488,0.840310797295886,True,,,
pchip,4.25025,0.7694952499519111,0.08339781340487926,0.8403212299478893,True,,,
pchip,4.251,0.7694988103648157,0.08338312202230344,0.840331684148912,True,,,
pchip,4.2517499999999995,0.7695023621826212,0.0833684386005111,0.8403421598405127,True,,,
