a,b,N,S1-A,S1-B,S2-A,S2-B,S3-A,S3-B,max_model_regret,mean_model_regret
0.120833333333,3.0375,10.0,1.6255840578349878,2.317437400464205,1.8322250984420283,2.4634093240471837,2.0907495666916605,2.673001336452525,1.209806434775435,0.9293178017844391
0.120833333333,3.15625,2.0,1.6142788241695087,2.001737554914306,1.6994484048129022,2.146291156966791,1.9388343376663772,2.3547437662878545,0.8926882676950421,0.7214723452652972
0.120833333333,3.15625,4.0,1.479086721660681,1.6602969479142726,1.5642920923277543,1.8022372589655877,1.7924962436719345,2.0066918274106937,0.5486343696938389,0.4797668531208281
0.120833333333,3.15625,6.0,1.4646383928424684,1.8853129166042022,1.5508499123541466,2.0293507875230428,1.794641266421814,2.2359555656058068,0.775747898251294,0.5890414780209209
0.120833333333,3.15625,8.0,1.501935279772033,2.193465252763193,1.7094633664429542,2.340169382956066,1.971903572065919,2.54952676423084,1.0865664936843171,0.8066606075008416
0.120833333333,3.15625,10.0,1.410689026832062,2.100940581976415,1.6188115270435262,2.2470174241258354,1.8769932565159235,2.454401184129329,0.9934145348540866,0.7137255045661893
0.120833333333,3.275,2.0,1.6755043146169255,1.8391993566552218,1.760620786749211,1.983328150946233,1.99097179768431,2.1894385749613647,0.7297252616744843,0.6687605013978851
0.120833333333,3.275,4.0,1.5118854685674523,1.5325838703325352,1.5969321042860256,1.6543975946371832,1.8255453181776824,1.8552954286045753,0.5446379698807357,0.42502330189658305
0.120833333333,3.275,6.0,1.485268085200088,1.735399904007029,1.5703009531124374,1.8787615106453697,1.7987439079760805,2.0831695446436305,0.6251586213736209,0.52085732205978
0.120833333333,3.275,8.0,1.45889963033546,2.0447930511033894,1.5909013853001013,2.1905376094233264,1.8617035547121739,2.3979485634575406,0.9369347201515776,0.686380636851006
0.120833333333,3.275,10.0,1.3042212909013755,1.9501672131760173,1.4781010335709373,2.095261808321457,1.7460959041655515,2.3008247153243775,0.8416589190497084,0.5746953320389602
0.120833333333,3.39375,2.0,1.7437944785201078,1.760817314097758,1.829022180396486,1.8802278558752474,2.0601644624173705,2.08311900126075,0.7765469798333912,0.6551075532236275
0.120833333333,3.39375,4.0,1.5540851361023216,1.5541642008670284,1.6391018311563799,1.6391779134460218,1.8682234874649706,1.8682950020644322,0.5868376374156049,0.4494245996458666
0.120833333333,3.39375,6.0,1.5176758995226352,1.638685772345327,1.6025591803979518,1.7812283854904556,1.8314319527267064,1.9839468240327465,0.5504284008359185,0.4881713402149778
0.120833333333,3.39375,8.0,1.4978022016912347,1.950988296257852,1.5843888907248682,2.0960001091323903,1.8316697114133487,2.301900538944514,0.8423972198606415,0.6393749624897088
0.120833333333,3.39375,10.0,1.3580773551646268,1.8557872639696849,1.4520685813348975,1.9999741026811888,1.7079521136221272,2.2044563816077565,0.74637121340944,0.5253026375257211
0.120833333333,3.5125,2.0,1.815237373785922,1.815317572261173,1.9007509824529774,1.900828229207605,2.1327145851696825,2.132787269929728,0.8479898750992053,0.7118560065968552
0.120833333333,3.5125,4.0,1.6017866153590934,1.601865418313513,1.6868973743651332,1.6869732002529156,1.9165838923610983,1.9166551656582689,0.6345391166723767,0.4973769488473445
0.120833333333,3.5125,6.0,1.55789542323641,1.5964656725089652,1.6427415541877746,1.729029304094392,1.8721244722665558,1.9305835481506912,0.5906479245496933,0.4837233335364723
0.120833333333,3.5125,8.0,1.5468173499415938,1.9029867899887425,1.6310233484341579,2.0475476444118423,1.860588664119142,2.252927094548328,0.7939447551400935,0.6358984863696419
0.120833333333,3.5125,10.0,1.4322899104269937,1.8089889819737017,1.5145429258136138,1.952703624237788,1.744840454502039,2.156602112994328,0.6991007349660392,0.5305780061204183
0.120833333333,3.63125,2.0,1.885948797844332,1.8860288300968868,1.9719055896169304,1.971982671738006,2.2046752425460143,2.2047477721322983,0.9187012991576152,0.7831314884580854
0.120833333333,3.63125,4.0,1.6510845990101366,1.6511632916463246,1.7364171341011587,1.7364928502435744,1.9666796736933638,1.966750843657459,0.6838371003234199,0.5470147365210104
0.120833333333,3.63125,6.0,1.6020020764075311,1.6118054075186992,1.6869465059467812,1.7243308579671928,1.9168746074229281,1.925873111638223,0.6347545777208145,0.5068887656125667
0.120833333333,3.63125,8.0,1.6020058889531543,1.8925321403057358,1.6862277809826305,2.03701969959135,1.916407229735668,2.242095401095546,0.7834168103196013,0.6582980279063549
0.120833333333,3.63125,10.0,1.5149517416953198,1.801487969896242,1.597074514129998,1.9451058271780672,1.826644785112093,2.148561198226857,0.6915029379063184,0.5678876771687704
0.120833333333,3.75,2.0,1.952044548125303,1.9521245215749081,2.038584398586596,2.038661420787177,2.2720995111511395,2.27217198420122,0.9847970494385864,0.8498644018667315
0.120833333333,3.75,4.0,1.6980948102813054,1.698173507636382,1.7837595105533284,1.783835228529077,2.014563972289066,2.0146351439200068,0.7308473115945887,0.594427033330535
0.120833333333,3.75,6.0,1.6461115927055112,1.6477101222991164,1.7312724671398476,1.748048979205619,1.961735499023121,1.9623429456191723,0.6788640940187946,0.5451202721277388
0.120833333333,3.75,8.0,1.6594611806746424,1.911526298924356,1.7438488139019037,2.0560060442514803,1.974748185740264,2.261274039722472,0.8024031549797315,0.6967274316648605
0.120833333333,3.75,10.0,1.602118583409243,1.8248340139178905,1.684339525037148,1.9685746756088258,1.9150078940083806,2.1722419464460194,0.714971786337077,0.6234361108669254
0.120833333333,3.86875,2.0,2.009732998019278,2.0098131007404967,2.096885806060219,2.096962837943365,2.331040467589829,2.3311129497064695,1.0424854993325612,0.908174697805617
0.120833333333,3.86875,4.0,1.7389422617028525,1.7390210591348112,1.8250229039105146,1.8250987002204997,2.0562899289755054,2.056361174303922,0.7716947630161358,0.6357060091703582
0.120833333333,3.86875,6.0,1.686340217813664,1.6869651517719966,1.7718178692318505,1.7837176503644552,2.002760287894436,2.00295644779911,0.7190927191269473,0.5846762752749262
0.120833333333,3.86875,8.0,1.7152990487894955,1.9514564811319448,1.799984878656853,2.096274462905522,2.031575278196365,2.3020264914998454,0.8426715736337733,0.7450194446590118
0.120833333333,3.86875,10.0,1.6898855475856915,1.870706999085925,1.772374165034571,2.014893207046231,2.0041425827805055,2.2190853908710095,0.7612903177744823,0.6907646531963296
0.120833333333,3.9875,2.0,2.055133633661404,2.0552137109032844,2.142908208736052,2.142985284794818,2.3775737322894703,2.3776466153109572,1.0878861349746871,0.9541602020783383
0.120833333333,3.9875,4.0,1.769803708643117,1.7698826918760737,1.8563071024384985,1.856382979818485,2.08791068457998,2.0879820426672113,0.8025562099564004,0.6669615394662349
0.120833333333,3.9875,6.0,1.7188803467693035,1.7203584134659022,1.8046811436876655,1.8205979002913288,2.036005265483931,2.0369680626334503,0.7516328480825868,0.6184985265176043
0.120833333333,3.9875,8.0,1.7656854349608972,2.0041959134912184,1.8507344067123563,2.149479293592531,2.0829416479312695,2.3558711291985532,0.8958764043207823,0.7970679754434785
0.120833333333,3.9875,10.0,1.7743733472936365,1.9310039602826754,1.8572876306205264,2.075713244490799,2.0901145113061195,2.280656858261174,0.8221103552190503,0.7637749298381626
0.120833333333,4.10625,2.0,2.0844163463114445,2.084496507871301,2.1727561103988,2.1728334584625384,2.407799489608625,2.407872414084793,1.1171688476247277,0.9839457255852578
0.120833333333,4.10625,4.0,1.786881993570265,1.7869611080937087,1.8737201880945078,1.8737961561074887,2.1056199970132887,2.1056920617910033,0.8196344948835482,0.6843619219073845
0.120833333333,4.10625,6.0,1.7397979620373811,1.746406618881062,1.8259839870525596,1.8556299591249599,2.057671621729857,2.0633022941960544,0.7725504633506645,0.643715411632653
0.120833333333,4.10625,8.0,1.8067902642109668,2.0616309671804895,1.8921958295332866,2.2074010393225287,2.1249146295788295,2.4145379465051047,0.95379815005078,0.8468284505175415
0.120833333333,4.10625,10.0,1.8517506539353026,1.997609294378092,1.9352941227525866,2.1428602923228555,2.1689948659682816,2.3486863423030253,0.8892574030511067,0.836449266405698
0.120833333333,4.225,2.0,2.093778504686262,2.0938586739964986,2.182541468803842,2.1826188247523195,2.4178621001345073,2.417935129376753,1.1265310059995453,0.9936824547540377
0.120833333333,4.225,4.0,1.7861938361957845,1.7862730517023557,1.873566320786407,1.873642733567972,2.1055476190201934,2.105619474976103,0.8189463375090679,0.6840571771704766
0.120833333333,4.225,6.0,1.7452720687805368,1.7643361482775668,1.8319527550923185,1.886228451760182,2.0637614168245433,2.088608496723993,0.7780245700938201,0.6589432273721975
0.120833333333,4.225,8.0,1.8346978480317935,2.115656421005001,1.920508620411692,2.2617805321954623,2.153696922079713,2.4697569371060126,1.0081776429237135,0.888266217933953
0.120833333333,4.225,10.0,1.918231144162161,2.0623945209792867,2.002416421643758,2.2081325971833183,2.236882250915553,2.4149038366830724,0.9545297079115695,0.9027434663901989
0.120833333333,4.34375,2.0,2.0792043016730024,2.079284404716421,2.168608411933388,2.1686856854600656,2.4038083391627136,2.4038813103348735,1.1119568029862856,0.9794954133424181
0.120833333333,4.34375,4.0,1.7639715297312935,1.7640506782772543,1.8518329378088896,1.8519093855659203,2.0836590913749395,2.0837309809617226,0.7967240310445768,0.6621091050823441
0.120833333333,4.34375,6.0,1.7316241574325821,1.7752177261482354,1.8186407114302268,1.9090824536810667,2.0504175814227192,2.1130632792578785,0.7643766587458655,0.6619243226911256
0.120833333333,4.34375,8.0,1.8455303869792217,2.1581766657787584,1.9319889029688235,2.3046173564720864,2.165219853289593,2.5132580946877883,1.0510144672003376,0.9153818811583859
0.120833333333,4.34375,10.0,1.9699460470934724,2.117248115377305,2.0547929293081983,2.2633752624246095,2.2898405050230335,2.471039335087829,1.0097723731528607,0.9566237035147488
0.120833333333,4.4625,2.0,2.0371348862512075,2.037214634654185,2.126975850106378,2.1270526699294545,2.361639616667171,2.3617118036072355,1.0698873875644908,0.9375382479982793
0.120833333333,4.4625,4.0,1.716967503353043,1.7170463719683335,1.8047028808635448,1.804779231500801,2.0359578140582726,2.0360296446659025,0.7497200046663263,0.6148305788639904
0.120833333333,4.4625,6.0,1.6954431478696366,1.7729247367865708,1.7821614161543247,1.9146346498605644,2.0135832539007548,2.1192907843674655,0.7281956491829199,0.645256335952227
0.120833333333,4.4625,8.0,1.8359140037616584,2.181126574451141,1.9225975094059662,2.327930378226401,2.1557348006104253,2.5369287630061965,1.0743274889546524,0.9222886760393058
0.120833333333,4.4625,10.0,2.003002607446859,2.1540783832777155,2.0886421193307885,2.3005302382829877,2.3240951717866234,2.508822831203804,1.046927349011239,0.9921118963504704
0.136666666667,3.0375,2.0,1.527470122849037,2.1161800300993807,1.668389241718581,2.26088246753191,1.936822939103019,2.469521250068593,1.0072795782601613,0.7587943463574276
0.136666666667,3.0375,4.0,1.4099059987872917,1.7785995992963697,1.4949709782589764,1.9206762476763144,1.7310900854547528,2.1254828412044935,0.6670733584045656,0.5057042962420405
0.136666666667,3.0375,6.0,1.4053107469990278,2.0164449291880264,1.5604469982110933,2.1603199398035455,1.8273184775753746,2.3679845766431766,0.9067170505317967,0.6518876158657149
0.136666666667,3.0375,8.0,1.6543796205171377,2.3463043120693716,1.8611480279621635,2.492549859159917,2.1206033857511524,2.704018239742287,1.238946969888168,0.9587505786626789
0.136666666667,3.0375,10.0,1.5942904506649493,2.2848235379681556,1.8007468568202953,2.4304939523473235,2.059107598019626,2.64057852347064,1.1768910630755747,0.8972568243441724
0.136666666667,3.15625,2.0,1.5788776070812958,1.902766129045226,1.6636757024099675,2.046667805276269,1.8940113731008041,2.2540584789747156,0.7930649160045202,0.6522595204437205
0.136666666667,3.15625,4.0,1.4303470624584504,1.5709169035102037,1.5152298541401912,1.712250463268168,1.7429559425088235,1.9158507189516625,0.4630995637717338,0.4101751619352574
0.136666666667,3.15625,6.0,1.404788922187828,1.8111054846085775,1.489898619243933,1.954612850821794,1.730942971506008,2.1608152599025376,0.7010099615500451,0.5209440225074539
0.136666666667,3.15625,8.0,1.4501807494569152,2.140167315118354,1.658367050496623,2.2864299210876804,1.9189257148529901,2.495943885184988,1.0328270318159316,0.7539191104952659
0.136666666667,3.15625,10.0,1.3853399692575021,2.074498084691646,1.5935108175803419,2.2202986446705615,1.851406233218558,2.42822837815666,0.9666957553988127,0.6877970257248857
0.136666666667,3.275,2.0,1.6424387070794528,1.7467172906059731,1.7272031579428833,1.8901214709950163,1.9572983043521017,2.0953457477082873,0.6751912083927362,0.6054374509096265
0.136666666667,3.275,4.0,1.4639075837997262,1.4721571311790504,1.548638886218529,1.5810732470326085,1.7767840427891495,1.7851758011307255,0.4966600851130095,0.36687278648730565
0.136666666667,3.275,6.0,1.4246033131990765,1.6669593404841363,1.5093119700717084,1.8098050075361345,1.7371040377086162,2.0136671658666696,0.5562021182643857,0.4558251436067311
